county_fips,year,population,youth_population,median_income,poverty_rate,pct_bachelors,pop_density
51810,2022,457900,100876,87544.0,8.034368438747542,39.78455173984275,1871.1256584082153
51820,2022,22341,4977,52519.0,16.137362388438365,27.2169124628141,1492.384769539078
51830,2022,15486,1582,66815.0,13.65133126352432,50.61134235171696,1732.6023718952786
51840,2022,28103,6263,62495.0,16.849177772003415,32.26235438055215,3056.999891221582
53001,2022,20557,7159,63105.0,20.92748486191109,14.71842245514301,10.67902206194425
53003,2022,22370,4512,63724.0,16.08738828202582,23.099288586452214,35.16880870966474
53005,2022,207560,54559,83778.0,10.531360071613443,32.338426426782455,122.08492537032507
53007,2022,79076,18118,71876.0,9.22097349545472,29.533012455450635,27.06990125216608
53009,2022,77333,12823,66108.0,10.875811848061405,30.82268437317297,44.47561585094777
53011,2022,504091,116721,90115.0,8.867451460633239,32.189768131298656,802.0553731986845
53013,2022,3980,692,68825.0,9.312357269728496,26.64680569347898,4.5821652457732975
53015,2022,110621,24995,70912.0,12.14267389870263,16.59357483911148,96.93741187687255
53017,2022,43189,10837,79422.0,7.912363940831706,21.727165052602242,23.740081044653714
53019,2022,7260,1242,50424.0,15.528296626707554,18.114768843317144,3.2951456513381876
53021,2022,96692,30500,77877.0,13.421326923485994,20.038388398172994,77.87718388268003
53023,2022,2310,450,57958.0,11.140350877192983,27.004716981132077,3.249699297305282
53025,2022,99145,28640,66387.0,14.2608642578125,17.66875813118588,37.00065720063876
53027,2022,75672,15193,59105.0,14.898251806099378,17.177591767221077,39.79672494284664
53029,2022,86510,15418,82850.0,6.836392295475442,35.36027898647481,414.96781373216805
53031,2022,33006,3856,64796.0,13.825611226161408,43.4584142045863,18.298767885180027
53033,2022,2254371,445321,116340.0,8.445482399511063,54.84588040694278,1065.5256610465578
53035,2022,275411,54989,93675.0,8.270682319129111,35.32940292825467,697.047158899651
53037,2022,44424,7715,66800.0,14.488602741023032,36.055959867165974,19.33771882476259
53039,2022,22798,4302,66581.0,13.772481421221583,30.790349903615866,12.180787289836271
53041,2022,82663,17783,67247.0,12.27906748706886,19.75754273649799,34.40303781200292
53043,2022,11036,2418,68172.0,11.636863823933975,23.01053433176799,4.776250660543002
53045,2022,66053,12786,74388.0,12.94969582805793,21.44255538382277,68.83726068283877
53047,2022,42336,9650,58218.0,18.852026118686382,22.644036021559373,8.039204032210744
53049,2022,23396,3584,58889.0,13.165461357497604,23.712457985471104,25.06607754884703
53051,2022,13570,2602,59353.0,12.92877961288394,21.490259088170315,9.691161189648955
53053,2022,918993,212099,91486.0,8.659495977599004,29.31626926217125,550.9619725428198
53055,2022,18001,2288,76745.0,10.991112611092362,52.59784075573549,103.50518072150604
53057,2022,129480,27640,82029.0,11.977617780560339,28.673881862041988,74.83393835851976
53059,2022,12118,2153,84500.0,8.629737609329446,26.35548753825973,7.307624581792569
53061,2022,828337,184523,104083.0,7.600617624298113,35.365424976479225,396.9954685204755
53063,2022,538711,116842,70394.0,12.310903147722833,31.930515855713278,305.3529483784372
53065,2022,46774,9864,62381.0,13.296070095172324,20.945007535238318,18.8825414203608
53067,2022,294272,62033,88895.0,9.34654747310569,36.40486062843036,407.2963220812151
53069,2022,4476,770,59167.0,13.72858431018936,22.138510576644453,17.023671879754154
53071,2022,62150,12715,66635.0,11.094920899250624,29.87276235133221,48.93573631551307
53073,2022,226523,42934,77581.0,12.868740563948181,37.01559282913459,107.4613285236028
53075,2022,47141,7219,49345.0,23.85776911836337,50.90789581792786,21.83199630244037
53077,2022,256143,75052,64910.0,15.531770880749852,18.19779824989094,59.64426225843589
54001,2022,15527,3121,44341.0,22.004430422232666,11.77247429487784,45.52584743402168
54003,2022,123283,28386,73619.0,10.938733228097869,24.31918489999061,383.88339296334703
54005,2022,21705,4519,56182.0,16.529041287613715,11.666666666666666,43.205207317315924
54007,2022,12505,2373,42245.0,18.190854870775347,11.741282823934569,24.484321614927506
54009,2022,22349,3927,51963.0,11.039692221075349,21.898843219296086,250.56056325395758
54011,2022,93965,18386,48944.0,20.113355455092087,30.302450839787102,334.3664598041448
54013,2022,6279,1194,39031.0,33.67493995196157,8.329800763035184,22.484181577939076
54015,2022,8049,1764,41530.0,24.55542943624669,12.604742378320557,23.539286246962178
54017,2022,7847,1137,56587.0,14.429629629629629,12.004623513870541,24.543120138369776
54019,2022,40545,8336,50090.0,21.51265676694622,15.795192177101725,61.287143379718785
54021,2022,7444,1193,51552.0,11.141353656323716,20.215582450832073,21.9909424731834
54023,2022,11034,2089,52877.0,11.723758930206998,13.21656050955414,23.11404942057766
54025,2022,32995,6391,45519.0,20.01866832607343,20.89497192968078,32.353653526151106
54027,2022,23275,4432,55222.0,17.46664893852768,14.557437705960572,36.34435869969175
54029,2022,28907,5398,57515.0,13.421543442305662,19.092390039562485,349.92131703183634
54031,2022,14249,2906,49205.0,17.27279146952899,14.897900488927235,24.469574027802818
54033,2022,65862,14007,56184.0,13.711393034053323,24.66508557143773,158.31907078710026
54035,2022,27868,6062,55173.0,19.605358435916003,18.623991935483872,60.01391165025336
54037,2022,58043,12570,93744.0,9.121807013506576,32.174796244457106,277.32493693142726
54039,2022,179895,35729,55226.0,16.43524148345899,28.167705678223754,199.50339021019968
54041,2022,16920,3605,50552.0,16.83126833063985,17.604879254924587,43.72883984183186
54043,2022,20410,4545,50985.0,19.18242106305058,8.077242524916944,46.69486814018984
54045,2022,32350,6655,42194.0,23.752976662962375,13.270915650231919,71.43172584349055
54047,2022,18911,3885,28235.0,33.26859698681733,6.6497461928934,35.449838600227196
54049,2022,56194,11131,59974.0,14.912136639842338,25.06862085038065,181.98422850850915
54051,2022,30509,5674,58129.0,14.667834523649104,19.040070453544693,99.88835448922998
54053,2022,25488,5320,53058.0,16.320486815415823,15.475285171102662,59.168740482115666
54055,2022,59530,12312,46409.0,18.772669176828217,20.57410578386606,142.08925869171907
54057,2022,26957,5358,64728.0,13.878908340340953,23.06025588113908,82.21555315631844
54059,2022,23466,5243,38305.0,28.61856200188534,9.560103222708996,55.45682280096422
54061,2022,105988,16910,60893.0,20.64871910562992,48.27379396250788,294.3358919387268
54063,2022,12438,2519,52392.0,13.17365269461078,15.227576974564927,26.3096663380955
54065,2022,17237,3001,61021.0,10.59664752080647,18.698315467075037,75.24675540111667
54067,2022,24624,5177,48826.0,16.675519960773098,18.429460232049774,38.067793570648966
54069,2022,42224,8202,55521.0,14.729848313902469,33.17915200268142,398.9794954171785
54071,2022,6156,1107,52458.0,16.352513227513228,19.234902213625617,8.84419222756986
54073,2022,7622,1463,59666.0,7.718598689831957,12.062615101289135,58.57714861011843
54075,2022,7940,1403,41680.0,20.327349524815205,14.764764764764765,8.444661410556252
54077,2022,34206,6243,60136.0,13.791407018694654,17.56629899084722,52.720810586701276
